Year,Month,Day,Hour,Minute,DHI,DNI,
2016,1,1,0,0,0,0,N/A
2016,1,1,0,30,0,0,N/A
2016,1,1,1,0,0,0,N/A
2016,1,1,1,30,0,0,N/A
2016,1,1,2,0,0,0,N/A
2016,1,1,2,30,0,0,N/A
2016,1,1,3,0,0,0,N/A
2016,1,1,3,30,0,0,N/A
2016,1,1,4,0,0,0,N/A
2016,1,1,4,30,0,0,N/A
2016,1,1,5,0,0,0,N/A
2016,1,1,5,30,0,0,N/A
2016,1,1,6,0,0,0,N/A
2016,1,1,6,30,0,0,N/A
2016,1,1,7,0,0,0,N/A
2016,1,1,7,30,0,0,N/A
2016,1,1,8,0,32,370,N/A
2016,1,1,8,30,49,554,N/A
2016,1,1,9,0,61,666,N/A
2016,1,1,9,30,69,741,N/A
2016,1,1,10,0,79,775,N/A
2016,1,1,10,30,84,811,N/A
2016,1,1,11,0,88,831,N/A
2016,1,1,11,30,90,845,N/A
2016,1,1,12,0,91,852,N/A
2016,1,1,12,30,91,850,N/A
2016,1,1,13,0,86,853,N/A
2016,1,1,13,30,84,836,N/A
2016,1,1,14,0,80,810,N/A
2016,1,1,14,30,75,771,N/A
2016,1,1,15,0,68,717,N/A
2016,1,1,15,30,58,634,N/A
2016,1,1,16,0,46,508,N/A
2016,1,1,16,30,27,301,N/A
2016,1,1,17,0,0,0,N/A
2016,1,1,17,30,0,0,N/A
2016,1,1,18,0,0,0,N/A
2016,1,1,18,30,0,0,N/A
2016,1,1,19,0,0,0,N/A
2016,1,1,19,30,0,0,N/A
2016,1,1,20,0,0,0,N/A
2016,1,1,20,30,0,0,N/A
2016,1,1,21,0,0,0,N/A
2016,1,1,21,30,0,0,N/A
2016,1,1,22,0,0,0,N/A
2016,1,1,22,30,0,0,N/A
2016,1,1,23,0,0,0,N/A
2016,1,1,23,30,0,0,N/A
2016,1,2,0,0,0,0,N/A
2016,1,2,0,30,0,0,N/A
2016,1,2,1,0,0,0,N/A
2016,1,2,1,30,0,0,N/A
2016,1,2,2,0,0,0,N/A
2016,1,2,2,30,0,0,N/A
2016,1,2,3,0,0,0,N/A
2016,1,2,3,30,0,0,N/A
2016,1,2,4,0,0,0,N/A
2016,1,2,4,30,0,0,N/A
2016,1,2,5,0,0,0,N/A
2016,1,2,5,30,0,0,N/A
2016,1,2,6,0,0,0,N/A
2016,1,2,6,30,0,0,N/A
2016,1,2,7,0,0,0,N/A
2016,1,2,7,30,0,0,N/A
2016,1,2,8,0,32,1,N/A
2016,1,2,8,30,66,30,N/A
2016,1,2,9,0,99,47,N/A
2016,1,2,9,30,130,56,N/A
2016,1,2,10,0,156,68,N/A
2016,1,2,10,30,157,14,N/A
2016,1,2,11,0,195,64,N/A
2016,1,2,11,30,216,164,N/A
